chord,start,end
C#:min,4.690430809,5.4799092620000005
B:maj,5.526349171000001,6.130067988
G#:min,6.1765078970000005,8.870022619
B:maj,8.962902437,9.195101982
C#:min,11.006258433000001,11.888616704
B:maj,11.935056613,12.353015794000001
G#:min,12.399455703000001,13.931972700000001
E:maj,15.696689242,16.997006694
B:maj,18.11156451,18.5759636
G#:min,18.622403509,20.43355996
B:maj,21.269478322,22.105396684000002
E:maj,23.266394409,23.545033863
C#:min,23.591473772,24.334512316
B:maj,24.380952225,25.123990769000002
G#:min,25.170430678000002,29.582222033
C#:min,30.278820668,30.557460122000002
B:maj,30.603900031000002,31.300498666
G#:min,31.346938575,33.390294571
F#:maj,33.43673448,33.622494116
G#:min,33.668934025,33.854693661
B:maj,33.90113357,34.504852387
E:maj,34.551292296,36.176689111
C#:min,36.22312902,37.1519272
G#:min,37.198367109,39.566802468
F#:maj,39.613242377,40.077641467
B:maj,40.124081376,40.959999738
E:maj,41.006439647,42.538956644
C#:min,42.585396553,43.653514460000004
G#:min,43.699954369000004,45.929070001
F#:maj,45.97550991,46.439909
B:maj,46.486348909,47.229387453
E:maj,47.275827362,48.808344359
C#:min,48.854784268,49.597822812000004
B:maj,49.644262721000004,49.969342084000004
G#:min,50.015781993000004,52.291337534
F#:maj,52.337777443,52.755736624
B:maj,52.802176533,53.591654986
E:maj,53.638094895,55.170611892000004
C#:min,55.217051801000004,55.727890800000004
G#:min,55.774330709000004,58.467845431
E:maj,58.51428534,59.90748261
B:maj,59.953922519,61.486439516000004
F#:maj,61.532879425000004,62.926076695
G#:min,62.972516604,64.59791341900001
E:maj,64.64435332800001,66.223310234
B:maj,66.269750143,67.80226714
F#:maj,67.848707049,69.241904319
G#:min,69.288344228,70.913741043
E:maj,70.960180952,72.539137858
B:maj,72.585577767,74.396734218
F#:maj,74.443174127,74.954013126
D#:min,75.000453035,75.23265258
F#:maj,75.279092489,75.55773194300001
G#:min,75.60417185200001,77.322448485
E:maj,77.368888394,78.808525573
B:maj,78.854965482,80.433922388
F#:maj,80.480362297,81.966439385
G#:min,82.012879294,86.749750012
C#:min,86.796189921,87.02838946600001
C#:min,87.07482937500001,87.35346882900001
B:maj,87.39990873800001,88.18938719100001
G#:min,88.23582710000001,90.186303278
G#:min,90.372062914,90.604262459
B:maj,90.650702368,91.393740912
E:maj,91.440180821,92.879818
C#:min,92.926257909,94.040815725
D#:min,94.087255634,94.598094633
G#:min,94.644534542,96.362811175
B:maj,96.920090083,97.570248809
E:maj,97.616688718,99.28852544200001
C#:min,99.33496535100001,100.26376353100001
G#:min,100.31020344000001,103.143037889
B:maj,103.189477798,103.978956251
E:maj,104.02539616,105.511473248
C#:min,105.557913157,106.34739161
B:maj,106.393831519,106.8117907
D#:min,106.858230609,107.183309972
G#:min,107.229749881,108.948026514
F#:maj,108.994466423,109.505305422
B:maj,109.551745331,110.29478387500001
E:maj,110.34122378400001,111.73442105400001
C#:min,111.78086096300001,113.127618324
G#:min,113.174058233,115.124534411
E:maj,115.17097432,116.842811044
B:maj,116.889250953,118.282448223
F#:maj,118.328888132,119.768525311
G#:min,119.81496522,121.393922126
E:maj,121.440362035,122.97287903200001
B:maj,123.01931894100001,124.64471575600001
F#:maj,124.69115566500001,126.037913026
G#:min,126.084352935,127.616869932
E:maj,127.663309841,129.335146565
B:maj,129.38158647400002,130.914103471
F#:maj,130.96054338,132.400180559
G#:min,132.446620468,134.025577374
E:maj,134.072017283,135.60453428
B:maj,135.650974189,137.229931095
F#:maj,137.276371004,138.344488911
B:maj,138.39092882,138.623128365
F#:maj,138.669568274,140.71292427
G#:min,140.75936417900002,141.87392199500002
E:maj,141.920361904,144.89251608
F#:maj,144.938955989,147.168071621
G#:min,147.21451153,147.864670256
E:maj,147.911110165,149.350747344
C#:min,149.397187253,149.675826707
F#:maj,149.722266616,150.279545524
B:maj,150.325985433,150.883264341
F#:maj,150.92970425000001,153.25169970000002
G#:min,153.298139609,154.27337769800002
E:maj,154.319817607,157.570611237
F#:maj,157.617051146,159.521087415
G#:min,159.567527324,160.635645231
E:maj,160.68208514,163.88643886100002
F#:maj,163.93287877,165.74403522100002
G#:min,165.79047513,166.951472855
E:maj,166.997912764,170.341586212
F#:maj,170.388026121,172.477822026
E:maj,172.524261935,176.56453401800002
G#:min,176.610973927,178.23637074200002
E:maj,178.282810651,180.093967102
B:maj,180.140407011,181.1156451
F#:maj,181.162085009,182.787481824
G#:min,182.833921733,184.36643873
E:maj,184.412878639,186.22403509
B:maj,186.27047499900002,187.524352542
F#:maj,187.57079245100002,189.196189266
G#:min,189.24262917500002,190.821586081
E:maj,190.86802599,192.400542987
B:maj,192.446982896,194.258139347
F#:maj,194.304579256,195.326257254
G#:min,195.372697163,197.137413705
E:maj,197.18385361400001,198.66993070200002
B:maj,198.716370611,200.24888760800002
F#:maj,200.295327517,201.409885333
B:maj,201.45632524200002,201.781404605
G#:min,201.82784451400002,203.360361511
E:maj,203.40680142,205.078638144
B:maj,205.125078053,206.564715232
D#:min,206.611155141,207.957912502
G#:min,208.004352411,209.629749226
E:maj,209.67618913500002,211.208706132
B:maj,211.25514604100002,212.92698276500002
F#:maj,212.973422674,214.366619944
G#:min,214.413059853,216.038456668
E:maj,216.084896577,217.710293392
B:maj,217.756733301,219.19637048
F#:maj,219.242810389,220.728887477
G#:min,220.77532738600001,222.26140447400002
E:maj,222.307844383,223.979681107
B:maj,224.02612101600002,225.837277467
F#:maj,225.883717376,226.998275192
G#:min,227.044715101,241.441086891
